API Name,Final Status,Category,Auto-Fix?,Rerun Status,Intervention Type,Intervention Reason,Quick Summary
Tensor.new_empty,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
Tensor.new_zeros,fixed,NONE,Yes,pytest_passed,none,,未捕获到明确的失败详情。
Tensor.register_hook,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
Tensor.requires_grad,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
Tensor.untyped_storage,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.__future__.get_swap_module_params_on_conversion,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._sync,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.autograd.Variable._execution_engine.queue_callback,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.compiler.is_compiling,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.dtype,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.Event,pytest_passed,NONE,No,not_run,none,,当前 NPU 后端不支持 Event.elapsed_time，跳过相关用例。 /home/l00913161/projects/pta_testcase/test/api_test/test_Event.py:83: 当前 NPU 后端不支持 Event.elapsed_time，跳过相关用例。
torch.library.impl,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.library.Library,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module.buffers,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module.modules,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module.named_modules,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module.named_parameters,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module.register_forward_hook,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module.register_forward_pre_hook,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module.register_load_state_dict_post_hook,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.utils._pytree.tree_flatten,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.utils._pytree.tree_map,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.utils._pytree.tree_unflatten,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.utils.swap_tensors,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Parameter.grad,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Parameter.device,fixed,NONE,Yes,pytest_passed,none,,未捕获到明确的失败详情。
torch.nn.Parameter.device.type,analyzed,UNKNOWN,No,not_run,human_required,unknown_failure,未捕获到明确的失败详情。
torch.nn.Parameter.is_contiguous,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Parameter.ndim,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Parameter.size,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Parameter.stride,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Parameter.dtype,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Parameter.itemsize,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.autograd._unsafe_preserve_version_counter,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.library,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._dynamo.compiled_autograd.compiled_autograd_enabled,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,analyzed,UNKNOWN,No,not_run,human_required,unknown_failure,未捕获到明确的失败详情。
torch._dynamo.compiled_autograd.in_compiled_autograd_region,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._running_with_deploy,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.utils._python_dispatch.is_traceable_wrapper_subclass,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._dynamo.comptime.comptime.print,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._dynamo.config,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._dynamo.config.skip_fsdp_hooks,analyzed,UNKNOWN,No,not_run,human_required,unknown_failure,未捕获到明确的失败详情。
torch._C.DispatchKey.Functionalize,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._C.DispatchKeySet,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._C._ExcludeDispatchKeyGuard,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._from_functional_tensor,fixed,NONE,Yes,pytest_passed,none,,未捕获到明确的失败详情。
torch._prims_common.make_contiguous_strides_for,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.fx.node.has_side_effect,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module.__setattr__,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.nn.Module._parameters,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch._logging.warning_once,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
torch.autograd.graph._MultiHandle,pytest_passed,NONE,No,not_run,none,,未捕获到明确的失败详情。
